Menu1,Menu2,Compras menores,Menu4,Menu5,Titulo,Folder,archivo,size(in Kb),extension
,,,,,311,2018/10/,311.png,20.564,png
,,,,,311,2018/10/,911.png,24.553,png
,,,,,,2018/10/,arid-barren-canyon-967097.jpg,603.642,jpg
,,,,,,2018/10/,conadis.pdf,70.91,pdf
,,,,,311,2018/10/,dominicana.png,34.678,png
,,,,,311,2018/10/,logo-saip.jpg,35.376,jpg
,,,,,311,2018/10/,observatorio.png,27.612,png
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2018,"Estadísticas de la OAI, Enero - Marzo 2018",2019/02/,Consolidado-Estadistica-de-la-OAI-enero-diciembre-2018.xlsx,29.696,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2017,"Estadísticas de la OAI, Enero 2017",2019/02/,Estadistica-de-la-OAI-abril-2017-XLSX-Portal-de-transparencia.xlsx,12.315,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2016,"Estadísticas de la OAI, Enero 2016",2019/02/,Estadistica-de-la-OAI-Diciembre-2016-XLSX-Datos-abiertos.xlsx,12.197,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2017,"Estadísticas de la OAI, Enero 2017",2019/02/,Estadistica-de-la-OAI-Febrero-2017-XLSX.xlsx,12.289,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2017,"Estadísticas de la OAI, Enero 2017",2019/02/,Estadistica-de-la-OAI-Junio-2017-XLSX-Portal-de-Transparencia.xlsx,10.647,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2017,"Estadísticas de la OAI, Enero 2017",2019/02/,Estadistica-de-la-OAI-Mayo-2017-XLSX-Portal-de-Transparencia.xlsx,10.419,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2018,"Estadísticas de la OAI, Enero - Marzo 2018",2019/02/,Estadistica-de-la-OAI-Portal-de-Transparencia-abril-junio-2018.xlsx,131.984,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2018,"Estadísticas de la OAI, Enero - Marzo 2018",2019/02/,Estadistica-de-la-OAI-Portal-de-Transparencia-enero-marzo-2018.xlsx,131.834,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2018,"Estadísticas de la OAI, Enero - Marzo 2018",2019/02/,Estadistica-de-la-OAI-Portal-de-Transparencia-julio-septiembre-2018-.xlsx,28.71,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2015,"Estadísticas de la OAI, Enero 2015",2019/02/,Estadisticas-de-la-OAI-Enero-2015.xls,8.113,xls
